Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Israel,ISR,0.288310083047894,0.273218184715534,0.193228886354409,0.1931942994627,0.181821596673977,0.176164421069308,0.15776330732934,0.154850837832611,0.14691560172039,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Italy,ITA,0.16656868100645,0.151786956596114,0.115166135214623,0.117893149780508,0.114831585392639,0.111541116020465,0.109071262781327,0.105987090019702,0.103245970438597,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Jamaica,JAM,0.358889704946739,0.405746664780914,0.26484078100869,0.258678544650106,0.271756648900321,0.257508066250153,0.300444564877267,0.291037029269176,0.224606569747878,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Japan,JPN,0.24901531992924,0.238085294100129,0.222897402782416,0.212448482710134,0.208446854573895,0.202542223127463,0.194301600359825,0.188507310537918,0.185749590005508,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Jordan,JOR,0.361372627295259,0.373431568781766,0.286382886549034,0.276739410724176,0.265120330264672,0.272235191055179,0.253643777170278,0.233519610480158,0.2139493084785,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Kazakhstan,KAZ,0.821407316571007,0.599201573669506,0.379053152908782,0.341979085086886,0.358469685982627,0.365477431540118,0.354348837040142,0.319853309910575,0.339767124247549,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Kenya,KEN,0.0655521855337481,0.0749707743131623,0.0795511359775479,0.0820956063545036,0.0840881147413569,0.0842809665566857,0.0764278434483872,0.0735703774055695,0.0736386892411336,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Kiribati,KIR,0.144536871119721,0.161759573685905,0.219313776741564,0.198763386407841,0.17315594041457,0.214414920925761,0.208740915029359,0.203154602184941,0.15807166118815,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Korea, Rep.",KOR,0.416142705021856,0.377693493461504,0.278252177282263,0.279733383691996,0.275130858288466,0.271355935633692,0.265377308975762,0.252117605344436,0.236309488984467,..,..,..
